Orthogroup	Ofaveolata_out_PRO	Ssiderea_out_PRO
OG0000737	Ofaveolata013889, Ofaveolata013887, Ofaveolata013885, Ofaveolata013884	Ssiderea044124, Ssiderea044125
OG0000738	Ofaveolata007726, Ofaveolata007724, Ofaveolata007791, Ofaveolata007717	Ssiderea032434, Ssiderea033835
OG0000739	Ofaveolata013999, Ofaveolata006388	Ssiderea028372, Ssiderea028390, Ssiderea028384, Ssiderea028366
OG0000741	Ofaveolata029387, Ofaveolata029388, Ofaveolata029393, Ofaveolata029406, Ofaveolata029400	Ssiderea050985
OG0000742	Ofaveolata034779, Ofaveolata036511, Ofaveolata035775, Ofaveolata036092	Ssiderea61264, Ssiderea60028
OG0000743	Ofaveolata030172	Ssiderea038042, Ssiderea027298, Ssiderea027275, Ssiderea038024, Ssiderea027276
OG0000744	Ofaveolata030217, Ofaveolata030214, Ofaveolata030212, Ofaveolata030216	Ssiderea003147, Ssiderea027369
OG0000745	Ofaveolata035892, Ofaveolata009063, Ofaveolata000531, Ofaveolata009069	Ssiderea055083, Ssiderea021403
OG0000746	Ofaveolata021847, Ofaveolata021835, Ofaveolata021838, Ofaveolata021858, Ofaveolata021861	Ssiderea022737
OG0000747	Ofaveolata007009	Ssiderea028062
OG0000747	Ofaveolata006535	Ssiderea028061
OG0000747	Ofaveolata007013	Ssiderea027884
OG0000749	Ofaveolata032239, Ofaveolata032188, Ofaveolata032218, Ofaveolata032119, Ofaveolata030901	Ssiderea057544
OG0000750	Ofaveolata006084	Ssiderea047957, Ssiderea058513, Ssiderea033152, Ssiderea047950, Ssiderea047964
OG0000753	Ofaveolata005390, Ofaveolata003667, Ofaveolata003668, Ofaveolata003666, Ofaveolata003662	Ssiderea046478
OG0000754	Ofaveolata012836, Ofaveolata012834, Ofaveolata021903, Ofaveolata012832, Ofaveolata012833	Ssiderea001459
OG0000755	Ofaveolata021478, Ofaveolata032216, Ofaveolata032185, Ofaveolata032367, Ofaveolata031079	Ssiderea057547
OG0000757	Ofaveolata034423	Ssiderea057288
OG0000757	Ofaveolata034422, Ofaveolata034420	Ssiderea057308, Ssiderea057292
OG0000759	Ofaveolata005079	Ssiderea010305
OG0000759	Ofaveolata006770, Ofaveolata005252, Ofaveolata005251	Ssiderea010158
OG0000760	Ofaveolata019678, Ofaveolata029268, Ofaveolata029260, Ofaveolata029256	Ssiderea016960, Ssiderea016958
OG0000761	Ofaveolata036439, Ofaveolata028404, Ofaveolata006159, Ofaveolata006156	Ssiderea005075, Ssiderea053375
OG0000762	Ofaveolata029534, Ofaveolata001174, Ofaveolata029529, Ofaveolata029528, Ofaveolata029535	Ssiderea007339
OG0000764	Ofaveolata002301, Ofaveolata002300	Ssiderea012806, Ssiderea012816, Ssiderea012815, Ssiderea012805
OG0000765	Ofaveolata033824, Ofaveolata035478, Ofaveolata033825	Ssiderea040196
OG0000765	Ofaveolata033823	Ssiderea040198
OG0000766	Ofaveolata031344, Ofaveolata031334, Ofaveolata031343, Ofaveolata031339, Ofaveolata031337	Ssiderea006678
OG0000767	Ofaveolata003992, Ofaveolata003991, Ofaveolata003990, Ofaveolata024394	Ssiderea006018, Ssiderea006017
OG0000768	Ofaveolata000527, Ofaveolata000520, Ofaveolata000519	Ssiderea029234, Ssiderea029235, Ssiderea029233
OG0000769	Ofaveolata010498, Ofaveolata010495, Ofaveolata010497, Ofaveolata010499, Ofaveolata010496	Ssiderea019534
OG0000770	Ofaveolata000900	Ssiderea022546
OG0000770	Ofaveolata000903	Ssiderea022544
OG0000770	Ofaveolata000902	Ssiderea022545
OG0000771	Ofaveolata003796, Ofaveolata003797	Ssiderea030496, Ssiderea028810, Ssiderea028830, Ssiderea010950
OG0000772	Ofaveolata036546, Ofaveolata036545	Ssiderea044626, Ssiderea028057, Ssiderea020314, Ssiderea020318
OG0000773	Ofaveolata015597, Ofaveolata015595, Ofaveolata015598, Ofaveolata015599	Ssiderea033748, Ssiderea033749
OG0000775	Ofaveolata023768, Ofaveolata023695, Ofaveolata023742, Ofaveolata023757, Ofaveolata023751	Ssiderea050046
OG0000776	Ofaveolata017305, Ofaveolata017309, Ofaveolata017308, Ofaveolata017306, Ofaveolata017307	Ssiderea046633
OG0000777	Ofaveolata031610, Ofaveolata029576, Ofaveolata035345	Ssiderea007519, Ssiderea007518, Ssiderea007499
OG0000778	Ofaveolata019120, Ofaveolata019119, Ofaveolata019121	Ssiderea013602, Ssiderea013598, Ssiderea013600
OG0000779	Ofaveolata033762, Ofaveolata033857, Ofaveolata033856, Ofaveolata006699	Ssiderea006818, Ssiderea057537
OG0000781	Ofaveolata033807, Ofaveolata033805, Ofaveolata005240, Ofaveolata033808, Ofaveolata033806	Ssiderea026363
OG0000783	Ofaveolata006336, Ofaveolata006333, Ofaveolata006335	Ssiderea048201
OG0000783	Ofaveolata006338	Ssiderea048213
OG0000784	Ofaveolata026855, Ofaveolata026862, Ofaveolata026851, Ofaveolata026848	Ssiderea017807, Ssiderea017799
OG0000785	Ofaveolata008069, Ofaveolata008071, Ofaveolata008070	Ssiderea044491, Ssiderea044494, Ssiderea009606
OG0000786	Ofaveolata025663	Ssiderea61755, Ssiderea61754, Ssiderea041902, Ssiderea041906, Ssiderea041903
OG0000787	Ofaveolata006976, Ofaveolata006973	Ssiderea027870
OG0000787	Ofaveolata006970, Ofaveolata006972	Ssiderea60560
OG0000788	Ofaveolata035700, Ofaveolata034701, Ofaveolata007064	Ssiderea052023, Ssiderea052024, Ssiderea052020
OG0000789	Ofaveolata015282, Ofaveolata006577, Ofaveolata015728, Ofaveolata000373, Ofaveolata032338	Ssiderea60974
OG0000790	Ofaveolata025797	Ssiderea055583, Ssiderea055582, Ssiderea055576, Ssiderea055592, Ssiderea055601
OG0000791	Ofaveolata024707, Ofaveolata011191, Ofaveolata006178, Ofaveolata002330	Ssiderea002729, Ssiderea021186
OG0000792	Ofaveolata021481	Ssiderea020331
OG0000792	Ofaveolata022374, Ofaveolata022330, Ofaveolata022378	Ssiderea023259
OG0000793	Ofaveolata007775, Ofaveolata007774	Ssiderea019635, Ssiderea014513, Ssiderea026812, Ssiderea026811
OG0000794	Ofaveolata013858	Ssiderea016460
OG0000794	Ofaveolata018517, Ofaveolata013857, Ofaveolata036234	Ssiderea028396
OG0000795	Ofaveolata028353, Ofaveolata009363	Ssiderea029754, Ssiderea057395, Ssiderea052577, Ssiderea012597
OG0000796	Ofaveolata020912	Ssiderea020624, Ssiderea020651, Ssiderea020644, Ssiderea020652, Ssiderea020645
OG0000797	Ofaveolata026549	Ssiderea021664
OG0000797	Ofaveolata026550	Ssiderea021699, Ssiderea021701, Ssiderea021555
OG0000798	Ofaveolata006418	Ssiderea041487, Ssiderea045492, Ssiderea041464, Ssiderea041488, Ssiderea028442
OG0000799	Ofaveolata026267	Ssiderea022124
OG0000799	Ofaveolata000317	Ssiderea022120, Ssiderea022125, Ssiderea022127
OG0000800	Ofaveolata003747, Ofaveolata003749, Ofaveolata003748, Ofaveolata003746	Ssiderea028717, Ssiderea028719
OG0000801	Ofaveolata002566, Ofaveolata002570, Ofaveolata001838	Ssiderea026840, Ssiderea026836, Ssiderea026838
OG0000802	Ofaveolata002912	Ssiderea024518, Ssiderea024525, Ssiderea024519, Ssiderea024522, Ssiderea024527
OG0000803	Ofaveolata017745, Ofaveolata017738, Ofaveolata017563, Ofaveolata017771, Ofaveolata017774	Ssiderea022932
OG0000804	Ofaveolata023506	Ssiderea004929
OG0000804	Ofaveolata023507	Ssiderea015710, Ssiderea004928, Ssiderea015709
OG0000805	Ofaveolata036252	Ssiderea054094
OG0000805	Ofaveolata015725, Ofaveolata015723	Ssiderea055449, Ssiderea054095
OG0000806	Ofaveolata023878, Ofaveolata023899, Ofaveolata023888, Ofaveolata023893, Ofaveolata023883	Ssiderea027764
OG0000807	Ofaveolata029967, Ofaveolata029949, Ofaveolata029944, Ofaveolata029945, Ofaveolata029948	Ssiderea024219
OG0000808	Ofaveolata002652, Ofaveolata002654, Ofaveolata002651, Ofaveolata002655	Ssiderea027213, Ssiderea027209
OG0000809	Ofaveolata002577, Ofaveolata027386, Ofaveolata027385	Ssiderea042267, Ssiderea042266, Ssiderea61773
OG0000810	Ofaveolata016319	Ssiderea053951
OG0000810	Ofaveolata016321	Ssiderea053987, Ssiderea053953, Ssiderea054006
OG0000811	Ofaveolata007504	Ssiderea62289, Ssiderea59667, Ssiderea015902, Ssiderea011646, Ssiderea011641
OG0000812	Ofaveolata019900, Ofaveolata019904, Ofaveolata019901, Ofaveolata031848	Ssiderea052250, Ssiderea052253
OG0000813	Ofaveolata032972, Ofaveolata032970, Ofaveolata032968, Ofaveolata032969	Ssiderea030796, Ssiderea030797
OG0000814	Ofaveolata008930	Ssiderea058399, Ssiderea007833, Ssiderea058400, Ssiderea058402, Ssiderea058401
OG0000815	Ofaveolata030423, Ofaveolata030424	Ssiderea034122, Ssiderea034115, Ssiderea034110, Ssiderea034117
OG0000816	Ofaveolata011112, Ofaveolata011113, Ofaveolata011114	Ssiderea056772, Ssiderea056776, Ssiderea056771
OG0000817	Ofaveolata010854, Ofaveolata036020, Ofaveolata010855	Ssiderea043373, Ssiderea005349, Ssiderea005350
OG0000818	Ofaveolata014725, Ofaveolata014728, Ofaveolata014736, Ofaveolata014726, Ofaveolata014733	Ssiderea004193
OG0000819	Ofaveolata008316, Ofaveolata008315	Ssiderea008519, Ssiderea008499, Ssiderea008507, Ssiderea008152
OG0000820	Ofaveolata014488, Ofaveolata018720	Ssiderea036341, Ssiderea004442, Ssiderea036343, Ssiderea036342
OG0000821	Ofaveolata036344	Ssiderea002829
OG0000821	Ofaveolata017245, Ofaveolata017244	Ssiderea002828, Ssiderea036470
OG0000822	Ofaveolata020784	Ssiderea047646, Ssiderea047647
OG0000822	Ofaveolata020782	Ssiderea047660, Ssiderea047656
OG0000823	Ofaveolata008245, Ofaveolata008246	Ssiderea057191, Ssiderea057185
OG0000823	Ofaveolata008247	Ssiderea057183
OG0000824	Ofaveolata029671, Ofaveolata030567, Ofaveolata030564, Ofaveolata029673	Ssiderea023725, Ssiderea023715
OG0000825	Ofaveolata011653	Ssiderea019682, Ssiderea019681, Ssiderea019686, Ssiderea019688, Ssiderea019683
OG0000826	Ofaveolata009329	Ssiderea035633, Ssiderea035632, Ssiderea035628, Ssiderea035630, Ssiderea035626
OG0000827	Ofaveolata026185	Ssiderea055031, Ssiderea055030, Ssiderea055029, Ssiderea055023, Ssiderea055027
OG0000828	Ofaveolata006248	Ssiderea032526, Ssiderea032531, Ssiderea032529, Ssiderea032533, Ssiderea032532
OG0000829	Ofaveolata000212	Ssiderea040603, Ssiderea047532, Ssiderea047552, Ssiderea040598, Ssiderea040593
OG0000830	Ofaveolata026437	Ssiderea039931, Ssiderea041706, Ssiderea041719, Ssiderea041721, Ssiderea041707
OG0000831	Ofaveolata033038	Ssiderea005195, Ssiderea005169, Ssiderea045301, Ssiderea030518, Ssiderea030515
OG0000832	Ofaveolata023963	Ssiderea046011, Ssiderea029539, Ssiderea029538, Ssiderea029540, Ssiderea046008
OG0000833	Ofaveolata031219	Ssiderea006524
OG0000833	Ofaveolata031216	Ssiderea006502, Ssiderea006518, Ssiderea006520
OG0000834	Ofaveolata029634, Ofaveolata029635, Ofaveolata029633	Ssiderea050878, Ssiderea050870, Ssiderea050879
OG0000835	Ofaveolata036089, Ofaveolata035443	Ssiderea59279, Ssiderea59907, Ssiderea038622, Ssiderea055985
OG0000836	Ofaveolata027985	Ssiderea035420, Ssiderea035424, Ssiderea035418, Ssiderea035422, Ssiderea035423
OG0000838	Ofaveolata012526, Ofaveolata012525	Ssiderea020865, Ssiderea020876, Ssiderea020863, Ssiderea016839
OG0000839	Ofaveolata020053	Ssiderea056502
OG0000839	Ofaveolata020640, Ofaveolata015668	Ssiderea055418, Ssiderea055417
OG0000840	Ofaveolata015637	Ssiderea033603, Ssiderea033608, Ssiderea033604, Ssiderea021616, Ssiderea021615
OG0000841	Ofaveolata017052	Ssiderea028317, Ssiderea052612, Ssiderea052607, Ssiderea052597, Ssiderea052606
OG0000842	Ofaveolata018321	Ssiderea027868, Ssiderea028021, Ssiderea028024, Ssiderea028019, Ssiderea028022
OG0000843	Ofaveolata004441, Ofaveolata004445	Ssiderea033410, Ssiderea033417, Ssiderea033443, Ssiderea033454
OG0000844	Ofaveolata012947, Ofaveolata029752	Ssiderea001681, Ssiderea039610, Ssiderea003711, Ssiderea003708
OG0000845	Ofaveolata015350	Ssiderea046073, Ssiderea046074, Ssiderea046103, Ssiderea046101, Ssiderea046102
OG0000846	Ofaveolata022068	Ssiderea022967, Ssiderea022983, Ssiderea022978, Ssiderea022979, Ssiderea022977
OG0000847	Ofaveolata016337	Ssiderea054416, Ssiderea59579, Ssiderea030322, Ssiderea022427, Ssiderea006727
OG0000848	Ofaveolata035363	Ssiderea61802, Ssiderea59752, Ssiderea61458, Ssiderea59487, Ssiderea61607
OG0000849	Ofaveolata002843	Ssiderea013450, Ssiderea013437, Ssiderea013438, Ssiderea013441, Ssiderea013463
OG0000850	Ofaveolata011027, Ofaveolata011019, Ofaveolata011023, Ofaveolata011028	Ssiderea055746, Ssiderea055695
OG0000851	Ofaveolata021941	Ssiderea022787, Ssiderea023494, Ssiderea023499, Ssiderea023500, Ssiderea023490
OG0000852	Ofaveolata029089	Ssiderea013749, Ssiderea019572, Ssiderea013744, Ssiderea013748, Ssiderea013746
OG0000853	Ofaveolata032075	Ssiderea048981, Ssiderea048979, Ssiderea048997, Ssiderea049003, Ssiderea049005
OG0000854	Ofaveolata002043	Ssiderea013521, Ssiderea013547, Ssiderea013513, Ssiderea013486, Ssiderea013501
OG0000855	Ofaveolata031448	Ssiderea047135, Ssiderea047136, Ssiderea047139, Ssiderea040149, Ssiderea031694
OG0000856	Ofaveolata021473, Ofaveolata031073	Ssiderea003460, Ssiderea035018, Ssiderea057541, Ssiderea057504
OG0000857	Ofaveolata008212	Ssiderea050739, Ssiderea050744, Ssiderea050738, Ssiderea050742, Ssiderea050740
OG0000858	Ofaveolata010809	Ssiderea019809, Ssiderea019799, Ssiderea019795, Ssiderea019807, Ssiderea019808
OG0000859	Ofaveolata036356, Ofaveolata035845	Ssiderea59471, Ssiderea59191, Ssiderea61035, Ssiderea62877
OG0000860	Ofaveolata008458	Ssiderea025949, Ssiderea012939, Ssiderea012957, Ssiderea034420, Ssiderea004877
OG0000861	Ofaveolata027502	Ssiderea047867, Ssiderea047849, Ssiderea047857, Ssiderea047853, Ssiderea047839
OG0000862	Ofaveolata029741	Ssiderea001273, Ssiderea018874, Ssiderea040285, Ssiderea001276, Ssiderea042397
OG0000863	Ofaveolata021231	Ssiderea019655, Ssiderea019651, Ssiderea019644, Ssiderea019649, Ssiderea019648
OG0000864	Ofaveolata028104, Ofaveolata006181	Ssiderea020214, Ssiderea020231, Ssiderea020219, Ssiderea020201
OG0000865	Ofaveolata030816	Ssiderea032798, Ssiderea032804, Ssiderea032806, Ssiderea032805, Ssiderea032807
OG0000866	Ofaveolata029776	Ssiderea023904, Ssiderea023907, Ssiderea023908, Ssiderea023905, Ssiderea023906
OG0000867	Ofaveolata026931	Ssiderea018015, Ssiderea018001, Ssiderea018012, Ssiderea018005, Ssiderea018016
OG0000868	Ofaveolata026200	Ssiderea039507, Ssiderea039508, Ssiderea039510, Ssiderea039512, Ssiderea039506
OG0000869	Ofaveolata002883	Ssiderea024453, Ssiderea024569, Ssiderea024454, Ssiderea024570, Ssiderea054190
OG0000870	Ofaveolata016000	Ssiderea033421, Ssiderea033415, Ssiderea033408, Ssiderea033450, Ssiderea033442
OG0000871	Ofaveolata002846	Ssiderea013456, Ssiderea013457, Ssiderea013470, Ssiderea013471, Ssiderea013447
OG0000872	Ofaveolata018556	Ssiderea002390, Ssiderea002443, Ssiderea002431, Ssiderea056963, Ssiderea002374
OG0000873	Ofaveolata024536, Ofaveolata021829, Ofaveolata018920	Ssiderea001974, Ssiderea001975, Ssiderea001976
OG0000874	Ofaveolata022385	Ssiderea023199, Ssiderea023195, Ssiderea023198, Ssiderea023194, Ssiderea023196
OG0000875	Ofaveolata001258	Ssiderea056345, Ssiderea056347, Ssiderea006194, Ssiderea056349, Ssiderea056344
OG0000876	Ofaveolata026938, Ofaveolata004934	Ssiderea017977, Ssiderea017968, Ssiderea017983, Ssiderea018143
OG0000877	Ofaveolata002189	Ssiderea012592, Ssiderea012593, Ssiderea012602, Ssiderea044318, Ssiderea012601
OG0000878	Ofaveolata035642	Ssiderea61208, Ssiderea60146, Ssiderea59289, Ssiderea59960, Ssiderea049996
OG0000879	Ofaveolata022923	Ssiderea014942, Ssiderea014920, Ssiderea015338, Ssiderea015336, Ssiderea014941
OG0000946	Ofaveolata026538, Ofaveolata029864, Ofaveolata029862	Ssiderea024095, Ssiderea024090
OG0000950	Ofaveolata036548	Ssiderea025347, Ssiderea025350, Ssiderea025351, Ssiderea025354
OG0000951	Ofaveolata013918, Ofaveolata014555, Ofaveolata013920, Ofaveolata013925	Ssiderea003909
OG0000952	Ofaveolata014583, Ofaveolata011359, Ofaveolata011357, Ofaveolata011356	Ssiderea051332
OG0000953	Ofaveolata028239, Ofaveolata028241, Ofaveolata028237, Ofaveolata002375	Ssiderea012882
OG0000954	Ofaveolata030982	Ssiderea006559
OG0000954	Ofaveolata030981	Ssiderea006552, Ssiderea012743
OG0000955	Ofaveolata014089, Ofaveolata014007	Ssiderea043934, Ssiderea043339, Ssiderea043359
OG0000956	Ofaveolata034783, Ofaveolata001500, Ofaveolata001501	Ssiderea043727, Ssiderea043775
OG0000957	Ofaveolata023394	Ssiderea005112, Ssiderea005113, Ssiderea005106, Ssiderea005119
OG0000958	Ofaveolata003773, Ofaveolata003775, Ofaveolata003772, Ofaveolata003774	Ssiderea028735
OG0000959	Ofaveolata014610, Ofaveolata014600, Ofaveolata014604, Ofaveolata014606	Ssiderea024939
OG0000960	Ofaveolata011847, Ofaveolata011856, Ofaveolata033556, Ofaveolata012051	Ssiderea013721
OG0000961	Ofaveolata028257, Ofaveolata028256, Ofaveolata028255, Ofaveolata028331	Ssiderea042484
OG0000962	Ofaveolata015339, Ofaveolata015340, Ofaveolata015331, Ofaveolata015343	Ssiderea057455
OG0000964	Ofaveolata023154, Ofaveolata023140	Ssiderea021507, Ssiderea014678, Ssiderea014681
OG0000965	Ofaveolata019026, Ofaveolata011234, Ofaveolata008485, Ofaveolata003460	Ssiderea015138
OG0000966	Ofaveolata029628, Ofaveolata036006, Ofaveolata035991, Ofaveolata035993	Ssiderea018172
OG0000967	Ofaveolata021475, Ofaveolata020002, Ofaveolata020014, Ofaveolata020010	Ssiderea057867
OG0000968	Ofaveolata008902, Ofaveolata000066, Ofaveolata018642, Ofaveolata018653	Ssiderea013687
OG0000969	Ofaveolata021217, Ofaveolata019847, Ofaveolata020005, Ofaveolata019864	Ssiderea012202
OG0000970	Ofaveolata036205, Ofaveolata036204, Ofaveolata036203	Ssiderea037336, Ssiderea011362
OG0000971	Ofaveolata005361, Ofaveolata005368, Ofaveolata005360, Ofaveolata005453	Ssiderea010444
OG0000975	Ofaveolata033803	Ssiderea047177, Ssiderea047176, Ssiderea000768, Ssiderea047180
OG0000976	Ofaveolata000386, Ofaveolata000388, Ofaveolata000387, Ofaveolata016268	Ssiderea029161
OG0000977	Ofaveolata032120, Ofaveolata032149, Ofaveolata032189, Ofaveolata032240	Ssiderea019213
OG0000978	Ofaveolata017881, Ofaveolata010393, Ofaveolata022017, Ofaveolata010392	Ssiderea023375
OG0000980	Ofaveolata015386, Ofaveolata015373, Ofaveolata015385	Ssiderea038323, Ssiderea038306
OG0000981	Ofaveolata025506, Ofaveolata025505	Ssiderea61738, Ssiderea039916, Ssiderea61737
OG0000982	Ofaveolata001605, Ofaveolata001611	Ssiderea026742, Ssiderea026748, Ssiderea026747
OG0000983	Ofaveolata007622	Ssiderea015682, Ssiderea015668, Ssiderea015672, Ssiderea044340
OG0000984	Ofaveolata011737	Ssiderea025695, Ssiderea028046, Ssiderea015895, Ssiderea019202
OG0000985	Ofaveolata010156	Ssiderea054762, Ssiderea054845, Ssiderea054806, Ssiderea054844
OG0000986	Ofaveolata027758, Ofaveolata031180	Ssiderea025375, Ssiderea025382, Ssiderea025377
OG0000988	Ofaveolata032617, Ofaveolata032615, Ofaveolata029216, Ofaveolata032725	Ssiderea058088
OG0000990	Ofaveolata007867	Ssiderea049875, Ssiderea009148, Ssiderea009144, Ssiderea041556
OG0000991	Ofaveolata005100, Ofaveolata005103, Ofaveolata005101, Ofaveolata005102	Ssiderea010317
OG0000993	Ofaveolata021261, Ofaveolata012584, Ofaveolata012002, Ofaveolata030321	Ssiderea043023
OG0000994	Ofaveolata009287, Ofaveolata009288, Ofaveolata009291	Ssiderea035595, Ssiderea035593
OG0000995	Ofaveolata022820, Ofaveolata034875, Ofaveolata022819	Ssiderea015450, Ssiderea015443
OG0000996	Ofaveolata014060	Ssiderea003478
OG0000996	Ofaveolata001528, Ofaveolata019905	Ssiderea052254
OG0000997	Ofaveolata018006, Ofaveolata018003, Ofaveolata017578, Ofaveolata018005	Ssiderea004322
OG0000999	Ofaveolata008400, Ofaveolata008390, Ofaveolata008388, Ofaveolata013177	Ssiderea004494
OG0001000	Ofaveolata019635, Ofaveolata021079, Ofaveolata019633	Ssiderea011430, Ssiderea011683
OG0001001	Ofaveolata006477, Ofaveolata006475	Ssiderea010060, Ssiderea010054, Ssiderea010061
OG0001002	Ofaveolata008782, Ofaveolata008783	Ssiderea034864, Ssiderea034865, Ssiderea008284
OG0001003	Ofaveolata027705, Ofaveolata015405, Ofaveolata027704, Ofaveolata030014	Ssiderea045620
OG0001005	Ofaveolata005048	Ssiderea010276
OG0001005	Ofaveolata005515	Ssiderea016077, Ssiderea016078
OG0001006	Ofaveolata024424, Ofaveolata024425, Ofaveolata024427, Ofaveolata024426	Ssiderea006105
OG0001007	Ofaveolata014362	Ssiderea004824, Ssiderea004810, Ssiderea004834, Ssiderea004838
OG0001008	Ofaveolata024910	Ssiderea021128, Ssiderea050539, Ssiderea050540, Ssiderea050524
OG0001009	Ofaveolata017893, Ofaveolata010909, Ofaveolata027050, Ofaveolata017894	Ssiderea003354
OG0001010	Ofaveolata034681, Ofaveolata018077, Ofaveolata018081	Ssiderea021525, Ssiderea021521
OG0001011	Ofaveolata001276, Ofaveolata001286, Ofaveolata001281, Ofaveolata001280	Ssiderea049748
OG0001012	Ofaveolata025722, Ofaveolata025744, Ofaveolata035024, Ofaveolata025723	Ssiderea021023
OG0001013	Ofaveolata009177, Ofaveolata009180, Ofaveolata009179, Ofaveolata009178	Ssiderea005344
OG0001014	Ofaveolata018880	Ssiderea002982, Ssiderea002980
OG0001014	Ofaveolata018889	Ssiderea002981
OG0001015	Ofaveolata035279	Ssiderea050979
OG0001015	Ofaveolata035280, Ofaveolata035277	Ssiderea052143
OG0001016	Ofaveolata010670	Ssiderea025925
OG0001016	Ofaveolata033061, Ofaveolata010671	Ssiderea025966
OG0001017	Ofaveolata006662, Ofaveolata016340, Ofaveolata035827	Ssiderea60469, Ssiderea028534
OG0001018	Ofaveolata013614	Ssiderea60765, Ssiderea000196
OG0001018	Ofaveolata000607	Ssiderea029635
OG0001019	Ofaveolata021186, Ofaveolata021188, Ofaveolata021184	Ssiderea012385, Ssiderea012373
OG0001022	Ofaveolata036444, Ofaveolata018955, Ofaveolata018933, Ofaveolata018943	Ssiderea001955
OG0001023	Ofaveolata007467	Ssiderea044459
OG0001023	Ofaveolata005791, Ofaveolata007466	Ssiderea044460
OG0001024	Ofaveolata019372, Ofaveolata019378, Ofaveolata019377, Ofaveolata019386	Ssiderea055931
OG0001026	Ofaveolata033420, Ofaveolata033427, Ofaveolata033433, Ofaveolata033428	Ssiderea047115
OG0001027	Ofaveolata008001, Ofaveolata008006, Ofaveolata008005, Ofaveolata008004	Ssiderea009511
OG0001028	Ofaveolata025226	Ssiderea021296
OG0001028	Ofaveolata025227, Ofaveolata025228	Ssiderea021623
OG0001029	Ofaveolata034916, Ofaveolata033704	Ssiderea040221, Ssiderea040213, Ssiderea040207
OG0001030	Ofaveolata029779	Ssiderea010400, Ssiderea053170, Ssiderea053165, Ssiderea053157
OG0001031	Ofaveolata034049	Ssiderea004794, Ssiderea004778, Ssiderea004765, Ssiderea004372
OG0001032	Ofaveolata016500	Ssiderea036448
OG0001032	Ofaveolata016494	Ssiderea036449, Ssiderea036446
OG0001033	Ofaveolata001830, Ofaveolata001829, Ofaveolata001828	Ssiderea025132, Ssiderea025131
OG0001035	Ofaveolata013447, Ofaveolata013445, Ofaveolata013424, Ofaveolata013428	Ssiderea000550
OG0001036	Ofaveolata026357	Ssiderea010099, Ssiderea010130, Ssiderea010125, Ssiderea011689
OG0001038	Ofaveolata030376, Ofaveolata035287	Ssiderea61084, Ssiderea034230, Ssiderea034237
OG0001039	Ofaveolata005128	Ssiderea053142
OG0001039	Ofaveolata005127, Ofaveolata005131	Ssiderea053128
OG0001041	Ofaveolata025424, Ofaveolata025442, Ofaveolata025423, Ofaveolata025425	Ssiderea039789
OG0001042	Ofaveolata025084, Ofaveolata025085, Ofaveolata025089, Ofaveolata025086	Ssiderea021444
OG0001043	Ofaveolata001827, Ofaveolata001826	Ssiderea057744, Ssiderea057761, Ssiderea025130
OG0001044	Ofaveolata034926	Ssiderea59756
OG0001044	Ofaveolata035570	Ssiderea60819, Ssiderea61135
OG0001045	Ofaveolata021556	Ssiderea020218, Ssiderea020249, Ssiderea020230, Ssiderea020216
OG0001046	Ofaveolata026029, Ofaveolata026031, Ofaveolata026028, Ofaveolata026034	Ssiderea021838
OG0001047	Ofaveolata003648, Ofaveolata003645, Ofaveolata003647, Ofaveolata003646	Ssiderea046464
OG0001048	Ofaveolata034574, Ofaveolata031268, Ofaveolata034590, Ofaveolata031250	Ssiderea007147
OG0001049	Ofaveolata023246	Ssiderea045848, Ssiderea045845, Ssiderea045851, Ssiderea045846
OG0001050	Ofaveolata017572, Ofaveolata017573, Ofaveolata017571	Ssiderea018468, Ssiderea018466
OG0001051	Ofaveolata010677, Ofaveolata010679, Ofaveolata010675, Ofaveolata010678	Ssiderea052598
OG0001052	Ofaveolata033161	Ssiderea026161, Ssiderea026157, Ssiderea026158, Ssiderea053393
OG0001053	Ofaveolata036335	Ssiderea038421, Ssiderea038419, Ssiderea038417, Ssiderea038420
OG0001054	Ofaveolata026401, Ofaveolata026395, Ofaveolata026402, Ofaveolata026397	Ssiderea038678
OG0001055	Ofaveolata009798, Ofaveolata002184	Ssiderea012587
OG0001055	Ofaveolata009797	Ssiderea012586
OG0001056	Ofaveolata021399, Ofaveolata005364	Ssiderea056888, Ssiderea056886, Ssiderea056907
OG0001057	Ofaveolata027119, Ofaveolata027818	Ssiderea025760, Ssiderea025767, Ssiderea025756
OG0001058	Ofaveolata003641, Ofaveolata003639, Ofaveolata003635, Ofaveolata003633	Ssiderea046450
OG0001059	Ofaveolata020917, Ofaveolata020919, Ofaveolata020918	Ssiderea020648, Ssiderea020643
OG0001060	Ofaveolata021998, Ofaveolata021995, Ofaveolata021996	Ssiderea023406, Ssiderea023389
OG0001062	Ofaveolata036237, Ofaveolata009000, Ofaveolata035885, Ofaveolata035886	Ssiderea011234
OG0001063	Ofaveolata002584, Ofaveolata002583	Ssiderea013037, Ssiderea013032, Ssiderea013033
OG0001064	Ofaveolata036454, Ofaveolata019183, Ofaveolata019182	Ssiderea019133, Ssiderea019117
OG0001065	Ofaveolata030001	Ssiderea050910, Ssiderea050912
OG0001065	Ofaveolata030004	Ssiderea050911
OG0001066	Ofaveolata012276	Ssiderea033810, Ssiderea058443, Ssiderea043060, Ssiderea054907
OG0001067	Ofaveolata002530	Ssiderea024883, Ssiderea024874, Ssiderea60367, Ssiderea013120
